block_slot,block_hash,block_timestamp,commission,lamports,post_balance,pubkey,reward_type
292312062,FXbTcE27hE7nK6A2oHbHACZKuendT5a3hRPaEHW4iuoY,2024-09-27 13:26:52.000000 UTC,,7201916,6018812084,FniyXWNu3EXWX9fXubLpFcDJ4h4T8VDCJEXCwVY2wFRh,Fee
292312067,GmnBnqgPRq9X3xJrWWWddefX92E4RBxSmHyS3NML8x58,2024-09-27 13:26:54.000000 UTC,,21742706,9737184332,3DaPk6TdeGnEBwTR8fEyZSLkdayk6vZXrqGZhAgYK8BV,Fee
292312072,H2y12F9i3w1e7RqdeWY9FDf7TAP7C3iArg4GKLrN7T6e,2024-09-27 13:26:57.000000 UTC,,17419776,155458550836,Ah95vWS61zmcbreP7KWcJizUCpQqnGxN4feEaeADfX2d,Fee
292312077,GJkbLrXjf8bgfd6FXK3NT59CNSnVaZGAMsDfcbGXYw2T,2024-09-27 13:26:59.000000 UTC,,14089148,6900298299,9hNj1a8xDtWsBzDWv8kk3yosBhT7UcohLEuV72ZJ4QZs,Fee
292312082,ATUm2HXuFDuhkXeVqTftqLqPmHsBDeF27eFRogSTNBtS,2024-09-27 13:27:01.000000 UTC,,5686096,182746833,5Mu8kLG6kNPN8Eooc4A7a9PHeuqutTM5hQZtfB72Gsmb,Fee
292312087,6rmKwuUaZLjXc41aJkNzVnu3LHWqjqXpKieFt5hjWcGZ,2024-09-27 13:27:04.000000 UTC,,20834273,185025466481,JupRhwjrF5fAcs6dFhLH59r3TJFvbcyLP2NRM8UGH9H,Fee
292312092,k8HR3seJmMevkpjYPB6ZPbh6bD3pyR8R24xgJdr6DUM,2024-09-27 13:27:06.000000 UTC,,31072227,7924688035,FPPo2aGYYwDWK1Rmr4sXjiCaZzzMwGKi67ijAiVZKwb8,Fee
292312097,Gb1gJVwYbPp6D6TyK6p83WYGXMRXqFtfSosQk3JakMfS,2024-09-27 13:27:09.000000 UTC,,31265899,54015706560,DDnAqxJVFo2GVTujibHt5cjevHMSE9bo8HJaydHoshdp,Fee
292312102,9bKoFStZmKjbK5LUqHULhKLQGGhyRKvJnrabeBGZDHS4,2024-09-27 13:27:11.000000 UTC,,14872453,54125899437,DDnAqxJVFo2GVTujibHt5cjevHMSE9bo8HJaydHoshdp,Fee
292312107,4aG97PJp4cjtmFojXJSDM9kmy6jvwj3oibUtG1hrywrE,2024-09-27 13:27:13.000000 UTC,,6364472,1730931466524,q9XWcZ7T1wP4bW9SB4XgNNwjnFEJ982nE8aVbbNuwot,Fee
292311983,EXu2kgPwykDXWtySzogW6mZ22b5K1phyFVNyaxaX2bE9,2024-09-27 13:26:15.000000 UTC,,20216717,183078286229,DWvDTSh3qfn88UoQTEKRV2JnLt5jtJAVoiCo3ivtMwXP,Fee
292311989,4xgBVunRCMJ2vkSNUsV225ErMNh8H8jRU8ZkuGBdLadh,2024-09-27 13:26:17.000000 UTC,,59265326,134319048473,FWwwP9tNttSy9dJFxwf6ebXWfc6VJXqFNMTccrMiLFTH,Fee
292311997,86YFWN84B53uvJDHDFekYXZ44qCmCgVedGV72gDtkByZ,2024-09-27 13:26:23.000000 UTC,,39220243,11441504816,A4hyMd3FyvUJSRafDUSwtLLaQcxRP4r1BRC9w2AJ1to2,Fee
292312002,367WyKj3Gf3DHMNjxLbhvYhdhaBYjputqpL4dZtyphzi,2024-09-27 13:26:25.000000 UTC,,5595496,5239767371,8Gr59dE1LhRdKeN7EcAFAoKSk9XYVUVPPL7zWc8myrma,Fee
292312010,Br31QrWbarK5Hy2sKgu3HPjxHkCnWA7Tgx1JeUaTbD1h,2024-09-27 13:26:29.000000 UTC,,8170648,33711387614,8GLRbAstsabZuZUx73AoyfGi1FRCWSUhRgMugFyofEz7,Fee
292312013,EDvwbF3UuM8gzX12sKhogt8DkC68hJNNMFot9kUCcSxt,2024-09-27 13:26:30.000000 UTC,,26447685,66545882227,EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,Fee
292312016,AB3LmTo6pc9dJNAKGWuRoUtHqJWZhToAVQHhEm6zmWQN,2024-09-27 13:26:32.000000 UTC,,42322133,282783794345,7y5VhV4fkz6r4zUmH2UiwPjLwXzPL1PcV28or5NWkWRL,Fee
292312026,Eipgzm2efXL4Edu6scBGgcTNfqnU9FPDhnQcvFqKSmJN,2024-09-27 13:26:36.000000 UTC,,6086194,134991127867,AEHqTB2RtJjegsR2ePjvoJSm6AA5pnYKWVbcsn6kqTBD,Fee
