"name","regency_code","province_code"
KABUPATEN SIMEULUE,"1101","11"
KABUPATEN ACEH SINGKIL,"1102","11"
KABUPATEN ACEH SELATAN,"1103","11"
KABUPATEN ACEH TENGGARA,"1104","11"
KABUPATEN ACEH TIMUR,"1105","11"
KABUPATEN ACEH TENGAH,"1106","11"
KABUPATEN ACEH BARAT,"1107","11"
KABUPATEN ACEH BESAR,"1108","11"
KABUPATEN PIDIE,"1109","11"
KABUPATEN BIREUEN,"1110","11"
KABUPATEN ACEH UTARA,"1111","11"
KABUPATEN ACEH BARAT DAYA,"1112","11"
KABUPATEN GAYO LUES,"1113","11"
KABUPATEN ACEH TAMIANG,"1114","11"
KABUPATEN NAGAN RAYA,"1115","11"
KABUPATEN ACEH JAYA,"1116","11"
KABUPATEN BENER MERIAH,"1117","11"
KABUPATEN PIDIE JAYA,"1118","11"
KOTA BANDA ACEH,"1171","11"
KOTA SABANG,"1172","11"
KOTA LANGSA,"1173","11"
KOTA LHOKSEUMAWE,"1174","11"
KOTA SUBULUSSALAM,"1175","11"
KABUPATEN NIAS,"1201","12"
KABUPATEN MANDAILING NATAL,"1202","12"
KABUPATEN TAPANULI SELATAN,"1203","12"
KABUPATEN TAPANULI TENGAH,"1204","12"
KABUPATEN TAPANULI UTARA,"1205","12"
KABUPATEN TOBA SAMOSIR,"1206","12"
KABUPATEN LABUHAN BATU,"1207","12"
KABUPATEN ASAHAN,"1208","12"
KABUPATEN SIMALUNGUN,"1209","12"
KABUPATEN DAIRI,"1210","12"
KABUPATEN KARO,"1211","12"
KABUPATEN DELI SERDANG,"1212","12"
KABUPATEN LANGKAT,"1213","12"
KABUPATEN NIAS SELATAN,"1214","12"
KABUPATEN HUMBANG HASUNDUTAN,"1215","12"
KABUPATEN PAKPAK BHARAT,"1216","12"
KABUPATEN SAMOSIR,"1217","12"
KABUPATEN SERDANG BEDAGAI,"1218","12"
KABUPATEN BATU BARA,"1219","12"
KABUPATEN PADANG LAWAS UTARA,"1220","12"
KABUPATEN PADANG LAWAS,"1221","12"
KABUPATEN LABUHAN BATU SELATAN,"1222","12"
KABUPATEN LABUHAN BATU UTARA,"1223","12"
KABUPATEN NIAS UTARA,"1224","12"
KABUPATEN NIAS BARAT,"1225","12"
KOTA SIBOLGA,"1271","12"
KOTA TANJUNG BALAI,"1272","12"
KOTA PEMATANG SIANTAR,"1273","12"
KOTA TEBING TINGGI,"1274","12"
KOTA MEDAN,"1275","12"
KOTA BINJAI,"1276","12"
KOTA PADANGSIDIMPUAN,"1277","12"
KOTA GUNUNGSITOLI,"1278","12"
KABUPATEN KEPULAUAN MENTAWAI,"1301","13"
KABUPATEN PESISIR SELATAN,"1302","13"
KABUPATEN SOLOK,"1303","13"
KABUPATEN SIJUNJUNG,"1304","13"
KABUPATEN TANAH DATAR,"1305","13"
KABUPATEN PADANG PARIAMAN,"1306","13"
KABUPATEN AGAM,"1307","13"
KABUPATEN LIMA PULUH KOTA,"1308","13"
KABUPATEN PASAMAN,"1309","13"
KABUPATEN SOLOK SELATAN,"1310","13"
KABUPATEN DHARMASRAYA,"1311","13"
KABUPATEN PASAMAN BARAT,"1312","13"
KOTA PADANG,"1371","13"
KOTA SOLOK,"1372","13"
KOTA SAWAH LUNTO,"1373","13"
KOTA PADANG PANJANG,"1374","13"
KOTA BUKITTINGGI,"1375","13"
KOTA PAYAKUMBUH,"1376","13"
KOTA PARIAMAN,"1377","13"
KABUPATEN KUANTAN SINGINGI,"1401","14"
KABUPATEN INDRAGIRI HULU,"1402","14"
KABUPATEN INDRAGIRI HILIR,"1403","14"
KABUPATEN PELALAWAN,"1404","14"
KABUPATEN S I A K,"1405","14"
KABUPATEN KAMPAR,"1406","14"
KABUPATEN ROKAN HULU,"1407","14"
KABUPATEN BENGKALIS,"1408","14"
KABUPATEN ROKAN HILIR,"1409","14"
KABUPATEN KEPULAUAN MERANTI,"1410","14"
KOTA PEKANBARU,"1471","14"
KOTA D U M A I,"1473","14"
KABUPATEN KERINCI,"1501","15"
KABUPATEN MERANGIN,"1502","15"
KABUPATEN SAROLANGUN,"1503","15"
KABUPATEN BATANG HARI,"1504","15"
KABUPATEN MUARO JAMBI,"1505","15"
KABUPATEN TANJUNG JABUNG TIMUR,"1506","15"
KABUPATEN TANJUNG JABUNG BARAT,"1507","15"
KABUPATEN TEBO,"1508","15"
KABUPATEN BUNGO,"1509","15"
KOTA JAMBI,"1571","15"
KOTA SUNGAI PENUH,"1572","15"
KABUPATEN OGAN KOMERING ULU,"1601","16"
KABUPATEN OGAN KOMERING ILIR,"1602","16"
KABUPATEN MUARA ENIM,"1603","16"
KABUPATEN LAHAT,"1604","16"
KABUPATEN MUSI RAWAS,"1605","16"
KABUPATEN MUSI BANYUASIN,"1606","16"
KABUPATEN BANYU ASIN,"1607","16"
KABUPATEN OGAN KOMERING ULU SELATAN,"1608","16"
KABUPATEN OGAN KOMERING ULU TIMUR,"1609","16"
KABUPATEN OGAN ILIR,"1610","16"
KABUPATEN EMPAT LAWANG,"1611","16"
KABUPATEN PENUKAL ABAB LEMATANG ILIR,"1612","16"
KABUPATEN MUSI RAWAS UTARA,"1613","16"
KOTA PALEMBANG,"1671","16"
KOTA PRABUMULIH,"1672","16"
KOTA PAGAR ALAM,"1673","16"
KOTA LUBUKLINGGAU,"1674","16"
KABUPATEN BENGKULU SELATAN,"1701","17"
KABUPATEN REJANG LEBONG,"1702","17"
KABUPATEN BENGKULU UTARA,"1703","17"
KABUPATEN KAUR,"1704","17"
KABUPATEN SELUMA,"1705","17"
KABUPATEN MUKOMUKO,"1706","17"
KABUPATEN LEBONG,"1707","17"
KABUPATEN KEPAHIANG,"1708","17"
KABUPATEN BENGKULU TENGAH,"1709","17"
KOTA BENGKULU,"1771","17"
KABUPATEN LAMPUNG BARAT,"1801","18"
KABUPATEN TANGGAMUS,"1802","18"
KABUPATEN LAMPUNG SELATAN,"1803","18"
KABUPATEN LAMPUNG TIMUR,"1804","18"
KABUPATEN LAMPUNG TENGAH,"1805","18"
KABUPATEN LAMPUNG UTARA,"1806","18"
KABUPATEN WAY KANAN,"1807","18"
KABUPATEN TULANGBAWANG,"1808","18"
KABUPATEN PESAWARAN,"1809","18"
KABUPATEN PRINGSEWU,"1810","18"
KABUPATEN MESUJI,"1811","18"
KABUPATEN TULANG BAWANG BARAT,"1812","18"
KABUPATEN PESISIR BARAT,"1813","18"
KOTA BANDAR LAMPUNG,"1871","18"
KOTA METRO,"1872","18"
KABUPATEN BANGKA,"1901","19"
KABUPATEN BELITUNG,"1902","19"
KABUPATEN BANGKA BARAT,"1903","19"
KABUPATEN BANGKA TENGAH,"1904","19"
KABUPATEN BANGKA SELATAN,"1905","19"
KABUPATEN BELITUNG TIMUR,"1906","19"
KOTA PANGKAL PINANG,"1971","19"
KABUPATEN KARIMUN,"2101","21"
KABUPATEN BINTAN,"2102","21"
KABUPATEN NATUNA,"2103","21"
KABUPATEN LINGGA,"2104","21"
KABUPATEN KEPULAUAN ANAMBAS,"2105","21"
KOTA B A T A M,"2171","21"
KOTA TANJUNG PINANG,"2172","21"
KABUPATEN KEPULAUAN SERIBU,"3101","31"
KOTA JAKARTA SELATAN,"3171","31"
KOTA JAKARTA TIMUR,"3172","31"
KOTA JAKARTA PUSAT,"3173","31"
KOTA JAKARTA BARAT,"3174","31"
KOTA JAKARTA UTARA,"3175","31"
KABUPATEN BOGOR,"3201","32"
KABUPATEN SUKABUMI,"3202","32"
KABUPATEN CIANJUR,"3203","32"
KABUPATEN BANDUNG,"3204","32"
KABUPATEN GARUT,"3205","32"
KABUPATEN TASIKMALAYA,"3206","32"
KABUPATEN CIAMIS,"3207","32"
KABUPATEN KUNINGAN,"3208","32"
KABUPATEN CIREBON,"3209","32"
KABUPATEN MAJALENGKA,"3210","32"
KABUPATEN SUMEDANG,"3211","32"
KABUPATEN INDRAMAYU,"3212","32"
KABUPATEN SUBANG,"3213","32"
KABUPATEN PURWAKARTA,"3214","32"
KABUPATEN KARAWANG,"3215","32"
KABUPATEN BEKASI,"3216","32"
KABUPATEN BANDUNG BARAT,"3217","32"
KABUPATEN PANGANDARAN,"3218","32"
KOTA BOGOR,"3271","32"
KOTA SUKABUMI,"3272","32"
KOTA BANDUNG,"3273","32"
KOTA CIREBON,"3274","32"
KOTA BEKASI,"3275","32"
KOTA DEPOK,"3276","32"
KOTA CIMAHI,"3277","32"
KOTA TASIKMALAYA,"3278","32"
KOTA BANJAR,"3279","32"
KABUPATEN CILACAP,"3301","33"
KABUPATEN BANYUMAS,"3302","33"
KABUPATEN PURBALINGGA,"3303","33"
KABUPATEN BANJARNEGARA,"3304","33"
KABUPATEN KEBUMEN,"3305","33"
KABUPATEN PURWOREJO,"3306","33"
KABUPATEN WONOSOBO,"3307","33"
KABUPATEN MAGELANG,"3308","33"
KABUPATEN BOYOLALI,"3309","33"
KABUPATEN KLATEN,"3310","33"
KABUPATEN SUKOHARJO,"3311","33"
KABUPATEN WONOGIRI,"3312","33"
KABUPATEN KARANGANYAR,"3313","33"
KABUPATEN SRAGEN,"3314","33"
KABUPATEN GROBOGAN,"3315","33"
KABUPATEN BLORA,"3316","33"
KABUPATEN REMBANG,"3317","33"
KABUPATEN PATI,"3318","33"
KABUPATEN KUDUS,"3319","33"
KABUPATEN JEPARA,"3320","33"
KABUPATEN DEMAK,"3321","33"
KABUPATEN SEMARANG,"3322","33"
KABUPATEN TEMANGGUNG,"3323","33"
KABUPATEN KENDAL,"3324","33"
KABUPATEN BATANG,"3325","33"
KABUPATEN PEKALONGAN,"3326","33"
KABUPATEN PEMALANG,"3327","33"
KABUPATEN TEGAL,"3328","33"
KABUPATEN BREBES,"3329","33"
KOTA MAGELANG,"3371","33"
KOTA SURAKARTA,"3372","33"
KOTA SALATIGA,"3373","33"
KOTA SEMARANG,"3374","33"
KOTA PEKALONGAN,"3375","33"
KOTA TEGAL,"3376","33"
KABUPATEN KULON PROGO,"3401","34"
KABUPATEN BANTUL,"3402","34"
KABUPATEN GUNUNG KIDUL,"3403","34"
KABUPATEN SLEMAN,"3404","34"
KOTA YOGYAKARTA,"3471","34"
KABUPATEN PACITAN,"3501","35"
KABUPATEN PONOROGO,"3502","35"
KABUPATEN TRENGGALEK,"3503","35"
KABUPATEN TULUNGAGUNG,"3504","35"
KABUPATEN BLITAR,"3505","35"
KABUPATEN KEDIRI,"3506","35"
KABUPATEN MALANG,"3507","35"
KABUPATEN LUMAJANG,"3508","35"
KABUPATEN JEMBER,"3509","35"
KABUPATEN BANYUWANGI,"3510","35"
KABUPATEN BONDOWOSO,"3511","35"
KABUPATEN SITUBONDO,"3512","35"
KABUPATEN PROBOLINGGO,"3513","35"
KABUPATEN PASURUAN,"3514","35"
