_id,id,id_instansi,predikat_rb,tahun,nama_instansi
1,1427,1010,BB,2021,"Kementerian Koordinator Bidang Politik, Hukum dan Keamanan"
2,1431,1020,BB,2021,Kementerian Koordinator Bidang Perekonomian
3,1402,1030,BB,2021,Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan
4,1385,1040,BB,2021,Kementerian Koordinator Bidang Kemaritiman dan Investasi Republik Indonesia
5,1367,2010,BB,2021,Kementerian Koperasi dan Usaha Kecil dan Menengah
6,1454,2040,BB,2021,Kementerian Badan Usaha Milik Negara
7,1349,2050,BB,2021,Kementerian Pemberdayaan Perempuan dan Perlindungan Anak
8,1482,2060,A,2021,Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi
9,1318,2100,B,2021,Kementerian Pemuda Olahraga
10,1444,2120,BB,2021,"Kementerian Desa, Pembangunan Daerah Tertinggal dan Transmigrasi"
11,1443,3001,BB,2021,Kementerian Dalam Negeri
12,1424,3002,BB,2021,Kementerian Luar Negeri
13,1325,3003,BB,2021,Kementerian Pertahanan
14,1471,3004,A,2021,Kementerian Hukum dan Hak Asasi Manusia
15,1488,3005,A,2021,Kementerian Keuangan
16,1463,3006,BB,2021,Kementerian Pertanian
17,1468,3008,BB,2021,Kementerian Energi dan Sumber Daya Mineral
18,1461,3009,BB,2021,Kementerian Perhubungan
19,1449,3010,BB,2021,Kementerian Pendidikan dan Kebudayaan
20,1465,3011,BB,2021,Kementerian Kesehatan
21,1382,3012,BB,2021,Kementerian Agama
22,1377,3013,BB,2021,Kementerian Ketenagakerjaan
23,1365,3014,BB,2021,Kementerian Sosial
24,1387,3015,BB,2021,Kementerian Lingkungan Hidup dan Kehutanan
25,1422,3016,BB,2021,Kementerian Kelautan dan Perikanan
26,1434,3018,BB,2021,Kementerian Komunikasi dan Informatika
27,1470,3019,A,2021,Kementerian Perdagangan
28,1459,3020,BB,2021,Kementerian Perindustrian
29,1411,3021,BB,2021,Kementerian Pekerjaan Umum & Perumahan Rakyat
30,1435,3022,BB,2021,Kementerian Pariwisata dan Ekonomi Kreatif
31,1485,4001,A,2021,Kementerian Sekretariat Negara
32,1384,4002,BB,2021,Kejaksaan Agung
33,1462,4003,BB,2021,Badan Intelijen Negara
34,1340,4005,BB,2021,Sekretariat Jenderal MPR
35,1091,4007,B,2021,Mahkamah Agung RI
36,1489,4008,A,2021,Badan Pemeriksa Keuangan 
37,1093,4010,B,2021,Badan Siber dan Sandi Negara
38,1390,4011,BB,2021,Badan Kepegawaian Negara
39,1466,4012,BB,2021,Lembaga Administrasi Negara 
40,1447,4016,BB,2021,Badan Pusat Statistik 
41,1480,4017,A,2021,Kementerian Perencanaan Pembangunan Nasional/Badan Perencanaan Pembangunan Nasional
42,1450,4018,BB,2021,Arsip Nasional Republik Indonesia 
43,1451,4019,BB,2021,Badan Informasi Geospasial
44,1374,4020,BB,2021,Badan Kependudukan dan KB Nasional
45,1373,4021,BB,2021,Badan Koordinasi Penanaman Modal 
46,1484,4023,A,2021,Badan Pengawasan Keuangan dan Pembangunan
47,1381,4024,BB,2021,Kementerian Agraria dan Tata Ruang/Badan Pertanahan Nasional
48,1408,4025,BB,2021,Perpustakaan Nasional RI
49,1342,4026,BB,2021,Sekretariat Jenderal DPR
50,1380,4027,BB,2021,Badan Standardisasi Nasional 
51,1421,4028,BB,2021,Badan Pengawas Tenaga Nuklir 
52,1341,4029,BB,2021,Sekretariat Jenderal DPD
53,1477,4031,A,2021,Badan Pengawas Obat dan Makanan
54,1303,4032,B,2021,Lembaga Ketahanan Nasional RI
55,1416,4033,BB,2021,Kepolisian Negara RI
56,1338,4034,BB,2021,Tentara Nasional Indonesia
57,1372,4035,BB,2021,"Badan Meteorologi, Klimatologi dan Geofisika"
58,1339,4036,BB,2021,Sekretariat Kabinet 
59,1370,4040,BB,2021,Badan Narkotika Nasional
60,1429,4041,BB,2021,Komisi Pemilihan Umum
61,1375,4043,BB,2021,Badan Nasional Penanggulangan Bencana
62,1322,4044,BB,2021,Komisi Nasional Hak Asasi Manusia
63,1092,4046,B,2021,Mahkamah Konstitusi
64,1430,4047,BB,2021,Komisi Pemberantasan Korupsi
65,1428,4049,BB,2021,Komisi Yudisial
66,913,4052,CC,2021,Badan Keamanan Laut
67,1448,4053,BB,2021,Badan Nasional Pencarian Dan Pertolongan
68,1396,4054,BB,2021,Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah
69,1453,4055,BB,2021,Pusat Pelaporan dan Analisis Transaksi Keuangan
70,1095,4056,B,2021,Ombudsman Republik Indonesia
71,1344,4057,BB,2021,Televisi Republik Indonesia
72,1452,4058,BB,2021,Radio Republik Indonesia
73,1171,4059,B,2021,Badan Nasional Pengelola Perbatasan
74,1371,4060,BB,2021,Badan Nasional Penanggulangan Terorisme
75,1323,4112,BB,2021,Komisi Aparatur Sipil Negara
76,1343,4222,BB,2021,Dewan Ketahanan Pangan 
77,1094,4502,B,2021,Lembaga Perlindungan Saksi Dan Korban
78,1037,4609,B,2021,Badan Pembinaan Ideologi Pancasila
79,1378,4627,BB,2021,Badan Perlindungan Pekerja Migran Indonesia
80,1483,4634,A,2021,Dewan Kehormatan Penyelenggara Pemilu
81,1168,5100,B,2021,Pemerintah Provinsi Aceh
82,505,5101,C,2021,Pemerintah Kab. Aceh Besar
83,831,5102,CC,2021,Pemerintah Kab. Pidie
84,684,5103,C,2021,Pemerintah Kab. Aceh Utara
85,657,5104,C,2021,Pemerintah Kab. Aceh Timur
86,522,5105,C,2021,Pemerintah Kab. Aceh Selatan
87,983,5106,CC,2021,Pemerintah Kab. Aceh Barat
88,585,5107,C,2021,Pemerintah Kab. Aceh Tengah
89,719,5110,CC,2021,Pemerintah Kab. Bireuen
